,REF_DATE,GEO,Before-tax household income quintile,"Household expenditures, summary-level categories",COORDINATE,Expense,Family type,Age of older adult,Family income,Income
1898,2011,Province 6,Third quintile,Household furnishings and equipment,C573,1648.0,Couple families,35 to 44 years,"$60,000 and over",14350.0
1899,2011,Province 6,Third quintile,Household furnishings,C574,476.0,Couple families,35 to 44 years,"$70,000 and over",13100.0
1900,2011,Province 6,Third quintile,Household equipment,C575,1119.0,Couple families,35 to 44 years,"$75,000 and over",12460.0
1901,2011,Province 6,Third quintile,Household appliances,C576,,Couple families,35 to 44 years,"$80,000 and over",11760.0
1902,2011,Province 6,Third quintile,Clothing and accessories,C577,2479.0,Couple families,35 to 44 years,"$90,000 and over",10240.0
1904,2011,Province 6,Fourth quintile,Total expenditure,C579,74761.0,Couple families,45 to 54 years,All income groups,21720.0
1906,2011,Province 6,Fourth quintile,Food purchased from restaurants,C581,2519.0,Couple families,45 to 54 years,"$10,000 and over",21390.0
1910,2011,Province 6,Fourth quintile,Owned living quarters,C585,6980.0,Couple families,45 to 54 years,"$30,000 and over",20490.0
1911,2011,Province 6,Fourth quintile,"Water, fuel and electricity for principal accommodation",C586,2959.0,Couple families,45 to 54 years,"$35,000 and over",20170.0
1914,2011,Province 6,Fourth quintile,Communications,C589,1927.0,Couple families,45 to 54 years,"$50,000 and over",18910.0
1922,2011,Province 6,Highest quintile,Food purchased from stores,C597,7911.0,Couple families,55 to 64 years,"Under $10,000",240.0
1923,2011,Province 6,Highest quintile,Food purchased from restaurants,C598,3066.0,Couple families,55 to 64 years,"$10,000 and over",18490.0
1925,2011,Province 6,Highest quintile,Principal accommodation,C600,15463.0,Couple families,55 to 64 years,"$20,000 and over",18050.0
1927,2011,Province 6,Highest quintile,Owned living quarters,C602,11019.0,Couple families,55 to 64 years,"$30,000 and over",17500.0
1928,2011,Province 6,Highest quintile,"Water, fuel and electricity for principal accommodation",C603,3811.0,Couple families,55 to 64 years,"$35,000 and over",17110.0
1932,2011,Province 6,Highest quintile,Household furnishings and equipment,C607,3184.0,Couple families,55 to 64 years,"$60,000 and over",14260.0
1934,2011,Province 6,Highest quintile,Household equipment,C609,1746.0,Couple families,55 to 64 years,"$75,000 and over",12160.0
1935,2011,Province 6,Highest quintile,Household appliances,C610,669.0,Couple families,55 to 64 years,"$80,000 and over",11440.0
1936,2011,Province 6,Highest quintile,Clothing and accessories,C611,5354.0,Couple families,55 to 64 years,"$90,000 and over",10030.0
1940,2011,Province 7,All quintiles,Food purchased from restaurants,C615,1989.0,Couple families,Total all ages,"$10,000 and over",185620.0
1942,2011,Province 7,All quintiles,Principal accommodation,C617,11226.0,Couple families,Total all ages,"$20,000 and over",180720.0
1943,2011,Province 7,All quintiles,Rented living quarters,C618,3166.0,Couple families,Total all ages,"$25,000 and over",176930.0
1946,2011,Province 7,All quintiles,Other accommodation,C621,960.0,Couple families,Total all ages,"$40,000 and over",150300.0
1948,2011,Province 7,All quintiles,Communications,C623,1407.0,Couple families,Total all ages,"$50,000 and over",132080.0
1952,2011,Province 7,All quintiles,Household appliances,C627,478.0,Couple families,Total all ages,"$80,000 and over",78880.0
1953,2011,Province 7,All quintiles,Clothing and accessories,C628,2978.0,Couple families,Total all ages,"$90,000 and over",64960.0
1954,2011,Province 7,All quintiles,Transportation,C629,10366.0,Couple families,Total all ages,Median total income,70910.0
1955,2011,Province 7,Lowest quintile,Total expenditure,C630,25058.0,Couple families,0 to 24 years,All income groups,3340.0
1958,2011,Province 7,Lowest quintile,Shelter,C633,7960.0,Couple families,0 to 24 years,"$15,000 and over",2940.0
1961,2011,Province 7,Lowest quintile,Owned living quarters,C636,1862.0,Couple families,0 to 24 years,"$30,000 and over",2090.0
1962,2011,Province 7,Lowest quintile,"Water, fuel and electricity for principal accommodation",C637,892.0,Couple families,0 to 24 years,"$35,000 and over",1780.0
1963,2011,Province 7,Lowest quintile,Other accommodation,C638,256.0,Couple families,0 to 24 years,"$40,000 and over",1470.0
1965,2011,Province 7,Lowest quintile,Communications,C640,868.0,Couple families,0 to 24 years,"$50,000 and over",960.0
1967,2011,Province 7,Lowest quintile,Household furnishings,C642,295.0,Couple families,0 to 24 years,"$70,000 and over",370.0
1968,2011,Province 7,Lowest quintile,Household equipment,C643,355.0,Couple families,0 to 24 years,"$75,000 and over",290.0
1972,2011,Province 7,Second quintile,Total expenditure,C647,38079.0,Couple families,25 to 34 years,All income groups,21750.0
1973,2011,Province 7,Second quintile,Food purchased from stores,C648,4076.0,Couple families,25 to 34 years,"Under $10,000",290.0
1974,2011,Province 7,Second quintile,Food purchased from restaurants,C649,1365.0,Couple families,25 to 34 years,"$10,000 and over",21450.0
1976,2011,Province 7,Second quintile,Principal accommodation,C651,8709.0,Couple families,25 to 34 years,"$20,000 and over",20910.0
1977,2011,Province 7,Second quintile,Rented living quarters,C652,4555.0,Couple families,25 to 34 years,"$25,000 and over",20370.0
1979,2011,Province 7,Second quintile,"Water, fuel and electricity for principal accommodation",C654,1229.0,Couple families,25 to 34 years,"$35,000 and over",19060.0
1980,2011,Province 7,Second quintile,Other accommodation,C655,299.0,Couple families,25 to 34 years,"$40,000 and over",18080.0
1981,2011,Province 7,Second quintile,Household operations,C656,2315.0,Couple families,25 to 34 years,"$45,000 and over",16960.0
1985,2011,Province 7,Second quintile,Household equipment,C660,810.0,Couple families,25 to 34 years,"$75,000 and over",9460.0
1986,2011,Province 7,Second quintile,Household appliances,C661,473.0,Couple families,25 to 34 years,"$80,000 and over",8390.0
1987,2011,Province 7,Second quintile,Clothing and accessories,C662,1638.0,Couple families,25 to 34 years,"$90,000 and over",6460.0
1988,2011,Province 7,Second quintile,Transportation,C663,6513.0,Couple families,25 to 34 years,Median total income,69220.0
1989,2011,Province 7,Third quintile,Total expenditure,C664,56393.0,Couple families,35 to 44 years,All income groups,33250.0
1991,2011,Province 7,Third quintile,Food purchased from restaurants,C666,1759.0,Couple families,35 to 44 years,"$10,000 and over",32830.0
1992,2011,Province 7,Third quintile,Shelter,C667,11792.0,Couple families,35 to 44 years,"$15,000 and over",32600.0
1993,2011,Province 7,Third quintile,Principal accommodation,C668,11184.0,Couple families,35 to 44 years,"$20,000 and over",32220.0
1995,2011,Province 7,Third quintile,Owned living quarters,C670,6208.0,Couple families,35 to 44 years,"$30,000 and over",31120.0
1996,2011,Province 7,Third quintile,"Water, fuel and electricity for principal accommodation",C671,1612.0,Couple families,35 to 44 years,"$35,000 and over",30370.0
1998,2011,Province 7,Third quintile,Household operations,C673,3244.0,Couple families,35 to 44 years,"$45,000 and over",28340.0
1999,2011,Province 7,Third quintile,Communications,C674,1491.0,Couple families,35 to 44 years,"$50,000 and over",27110.0
2003,2011,Province 7,Third quintile,Household appliances,C678,348.0,Couple families,35 to 44 years,"$80,000 and over",17720.0
2005,2011,Province 7,Third quintile,Transportation,C680,9525.0,Couple families,35 to 44 years,Median total income,83730.0
2007,2011,Province 7,Fourth quintile,Food purchased from stores,C682,6675.0,Couple families,45 to 54 years,"Under $10,000",430.0
2008,2011,Province 7,Fourth quintile,Food purchased from restaurants,C683,2389.0,Couple families,45 to 54 years,"$10,000 and over",42080.0
2009,2011,Province 7,Fourth quintile,Shelter,C684,13817.0,Couple families,45 to 54 years,"$15,000 and over",41600.0
2020,2011,Province 7,Fourth quintile,Household appliances,C695,633.0,Couple families,45 to 54 years,"$80,000 and over",24590.0
2021,2011,Province 7,Fourth quintile,Clothing and accessories,C696,3843.0,Couple families,45 to 54 years,"$90,000 and over",21190.0
2024,2011,Province 7,Highest quintile,Food purchased from stores,C699,8204.0,Couple families,55 to 64 years,"Under $10,000",400.0
2026,2011,Province 7,Highest quintile,Shelter,C701,18328.0,Couple families,55 to 64 years,"$15,000 and over",42030.0
2030,2011,Province 7,Highest quintile,"Water, fuel and electricity for principal accommodation",C705,2349.0,Couple families,55 to 64 years,"$35,000 and over",37820.0
2031,2011,Province 7,Highest quintile,Other accommodation,C706,2556.0,Couple families,55 to 64 years,"$40,000 and over",36000.0
2033,2011,Province 7,Highest quintile,Communications,C708,1896.0,Couple families,55 to 64 years,"$50,000 and over",31940.0
2035,2011,Province 7,Highest quintile,Household furnishings,C710,1485.0,Couple families,55 to 64 years,"$70,000 and over",23220.0
2041,2011,Province 8,All quintiles,Food purchased from stores,C716,5477.0,Couple families,Total all ages,"Under $10,000",350.0
2043,2011,Province 8,All quintiles,Shelter,C718,16880.0,Couple families,Total all ages,"$15,000 and over",29420.0
2045,2011,Province 8,All quintiles,Rented living quarters,C720,3466.0,Couple families,Total all ages,"$25,000 and over",28520.0
2049,2011,Province 8,All quintiles,Household operations,C724,4496.0,Couple families,Total all ages,"$45,000 and over",24010.0
2051,2011,Province 8,All quintiles,Household furnishings and equipment,C726,2129.0,Couple families,Total all ages,"$60,000 and over",20140.0
2052,2011,Province 8,All quintiles,Household furnishings,C727,965.0,Couple families,Total all ages,"$70,000 and over",17560.0
2053,2011,Province 8,All quintiles,Household equipment,C728,1001.0,Couple families,Total all ages,"$75,000 and over",16270.0
2054,2011,Province 8,All quintiles,Household appliances,C729,438.0,Couple families,Total all ages,"$80,000 and over",15060.0
2056,2011,Province 8,All quintiles,Transportation,C731,11265.0,Couple families,Total all ages,Median total income,80010.0
2057,2011,Province 8,Lowest quintile,Total expenditure,C732,30758.0,Couple families,0 to 24 years,All income groups,520.0
2061,2011,Province 8,Lowest quintile,Principal accommodation,C736,10053.0,Couple families,0 to 24 years,"$20,000 and over",430.0
2062,2011,Province 8,Lowest quintile,Rented living quarters,C737,5092.0,Couple families,0 to 24 years,"$25,000 and over",390.0
2067,2011,Province 8,Lowest quintile,Communications,C742,1262.0,Couple families,0 to 24 years,"$50,000 and over",150.0
2068,2011,Province 8,Lowest quintile,Household furnishings and equipment,C743,824.0,Couple families,0 to 24 years,"$60,000 and over",90.0
2071,2011,Province 8,Lowest quintile,Household appliances,C746,178.0,Couple families,0 to 24 years,"$80,000 and over",40.0
2072,2011,Province 8,Lowest quintile,Clothing and accessories,C747,1357.0,Couple families,0 to 24 years,"$90,000 and over",20.0
2073,2011,Province 8,Lowest quintile,Transportation,C748,4755.0,Couple families,0 to 24 years,Median total income,36450.0
2074,2011,Province 8,Second quintile,Total expenditure,C749,47568.0,Couple families,25 to 34 years,All income groups,3540.0
2075,2011,Province 8,Second quintile,Food purchased from stores,C750,4859.0,Couple families,25 to 34 years,"Under $10,000",70.0
2076,2011,Province 8,Second quintile,Food purchased from restaurants,C751,1902.0,Couple families,25 to 34 years,"$10,000 and over",3470.0
2079,2011,Province 8,Second quintile,Rented living quarters,C754,4968.0,Couple families,25 to 34 years,"$25,000 and over",3300.0
2080,2011,Province 8,Second quintile,Owned living quarters,C755,5561.0,Couple families,25 to 34 years,"$30,000 and over",3200.0
2081,2011,Province 8,Second quintile,"Water, fuel and electricity for principal accommodation",C756,1950.0,Couple families,25 to 34 years,"$35,000 and over",3080.0
2083,2011,Province 8,Second quintile,Household operations,C758,3133.0,Couple families,25 to 34 years,"$45,000 and over",2800.0
2087,2011,Province 8,Second quintile,Household equipment,C762,670.0,Couple families,25 to 34 years,"$75,000 and over",1740.0
2088,2011,Province 8,Second quintile,Household appliances,C763,341.0,Couple families,25 to 34 years,"$80,000 and over",1590.0
2089,2011,Province 8,Second quintile,Clothing and accessories,C764,2549.0,Couple families,25 to 34 years,"$90,000 and over",1300.0
2092,2011,Province 8,Third quintile,Food purchased from stores,C767,5239.0,Couple families,35 to 44 years,"Under $10,000",90.0
2093,2011,Province 8,Third quintile,Food purchased from restaurants,C768,2338.0,Couple families,35 to 44 years,"$10,000 and over",5570.0
2094,2011,Province 8,Third quintile,Shelter,C769,16091.0,Couple families,35 to 44 years,"$15,000 and over",5530.0
2095,2011,Province 8,Third quintile,Principal accommodation,C770,15391.0,Couple families,35 to 44 years,"$20,000 and over",5470.0
2098,2011,Province 8,Third quintile,"Water, fuel and electricity for principal accommodation",C773,2650.0,Couple families,35 to 44 years,"$35,000 and over",5220.0
2099,2011,Province 8,Third quintile,Other accommodation,C774,699.0,Couple families,35 to 44 years,"$40,000 and over",5100.0
2101,2011,Province 8,Third quintile,Communications,C776,1983.0,Couple families,35 to 44 years,"$50,000 and over",4800.0
2103,2011,Province 8,Third quintile,Household furnishings,C778,873.0,Couple families,35 to 44 years,"$70,000 and over",3990.0
2104,2011,Province 8,Third quintile,Household equipment,C779,846.0,Couple families,35 to 44 years,"$75,000 and over",3730.0
2105,2011,Province 8,Third quintile,Household appliances,C780,387.0,Couple families,35 to 44 years,"$80,000 and over",3490.0
2106,2011,Province 8,Third quintile,Clothing and accessories,C781,3476.0,Couple families,35 to 44 years,"$90,000 and over",3040.0
2108,2011,Province 8,Fourth quintile,Total expenditure,C783,88810.0,Couple families,45 to 54 years,All income groups,7160.0
2109,2011,Province 8,Fourth quintile,Food purchased from stores,C784,6234.0,Couple families,45 to 54 years,"Under $10,000",90.0
2110,2011,Province 8,Fourth quintile,Food purchased from restaurants,C785,2616.0,Couple families,45 to 54 years,"$10,000 and over",7070.0
2112,2011,Province 8,Fourth quintile,Principal accommodation,C787,17673.0,Couple families,45 to 54 years,"$20,000 and over",6910.0
2113,2011,Province 8,Fourth quintile,Rented living quarters,C788,2161.0,Couple families,45 to 54 years,"$25,000 and over",6820.0
2119,2011,Province 8,Fourth quintile,Household furnishings and equipment,C794,2341.0,Couple families,45 to 54 years,"$60,000 and over",5710.0
2120,2011,Province 8,Fourth quintile,Household furnishings,C795,895.0,Couple families,45 to 54 years,"$70,000 and over",5270.0
2121,2011,Province 8,Fourth quintile,Household equipment,C796,1263.0,Couple families,45 to 54 years,"$75,000 and over",5010.0
2122,2011,Province 8,Fourth quintile,Household appliances,C797,493.0,Couple families,45 to 54 years,"$80,000 and over",4750.0
2123,2011,Province 8,Fourth quintile,Clothing and accessories,C798,4166.0,Couple families,45 to 54 years,"$90,000 and over",4250.0
2124,2011,Province 8,Fourth quintile,Transportation,C799,13878.0,Couple families,45 to 54 years,Median total income,103580.0
2125,2011,Province 8,Highest quintile,Total expenditure,C800,152775.0,Couple families,55 to 64 years,All income groups,6730.0
2130,2011,Province 8,Highest quintile,Rented living quarters,C805,1380.0,Couple families,55 to 64 years,"$25,000 and over",6310.0
2131,2011,Province 8,Highest quintile,Owned living quarters,C806,17683.0,Couple families,55 to 64 years,"$30,000 and over",6170.0
2132,2011,Province 8,Highest quintile,"Water, fuel and electricity for principal accommodation",C807,4044.0,Couple families,55 to 64 years,"$35,000 and over",6030.0
2135,2011,Province 8,Highest quintile,Communications,C810,2729.0,Couple families,55 to 64 years,"$50,000 and over",5330.0
2137,2011,Province 8,Highest quintile,Household furnishings,C812,1946.0,Couple families,55 to 64 years,"$70,000 and over",4190.0
2141,2011,Province 8,Highest quintile,Transportation,C816,17879.0,Couple families,55 to 64 years,Median total income,84940.0
2143,2011,Province 9,All quintiles,Food purchased from stores,C818,5788.0,Couple families,Total all ages,"Under $10,000",28230.0
2144,2011,Province 9,All quintiles,Food purchased from restaurants,C819,2362.0,Couple families,Total all ages,"$10,000 and over",1863160.0
2145,2011,Province 9,All quintiles,Shelter,C820,16492.0,Couple families,Total all ages,"$15,000 and over",1843110.0
2146,2011,Province 9,All quintiles,Principal accommodation,C821,14617.0,Couple families,Total all ages,"$20,000 and over",1813020.0
2148,2011,Province 9,All quintiles,Owned living quarters,C823,8745.0,Couple families,Total all ages,"$30,000 and over",1694840.0
2151,2011,Province 9,All quintiles,Household operations,C826,4334.0,Couple families,Total all ages,"$45,000 and over",1434130.0
2152,2011,Province 9,All quintiles,Communications,C827,2042.0,Couple families,Total all ages,"$50,000 and over",1349600.0
2153,2011,Province 9,All quintiles,Household furnishings and equipment,C828,2163.0,Couple families,Total all ages,"$60,000 and over",1178570.0
2155,2011,Province 9,All quintiles,Household equipment,C830,1163.0,Couple families,Total all ages,"$75,000 and over",930850.0
2156,2011,Province 9,All quintiles,Household appliances,C831,466.0,Couple families,Total all ages,"$80,000 and over",853850.0
2161,2011,Province 9,Lowest quintile,Food purchased from restaurants,C836,1232.0,Couple families,0 to 24 years,"$10,000 and over",30020.0
2165,2011,Province 9,Lowest quintile,Owned living quarters,C840,2673.0,Couple families,0 to 24 years,"$30,000 and over",20230.0
2167,2011,Province 9,Lowest quintile,Other accommodation,C842,,Couple families,0 to 24 years,"$40,000 and over",14640.0
2168,2011,Province 9,Lowest quintile,Household operations,C843,2284.0,Couple families,0 to 24 years,"$45,000 and over",12060.0
2170,2011,Province 9,Lowest quintile,Household furnishings and equipment,C845,844.0,Couple families,0 to 24 years,"$60,000 and over",6180.0
2171,2011,Province 9,Lowest quintile,Household furnishings,C846,325.0,Couple families,0 to 24 years,"$70,000 and over",3690.0
2172,2011,Province 9,Lowest quintile,Household equipment,C847,466.0,Couple families,0 to 24 years,"$75,000 and over",2790.0
2174,2011,Province 9,Lowest quintile,Clothing and accessories,C849,1614.0,Couple families,0 to 24 years,"$90,000 and over",1150.0
2175,2011,Province 9,Lowest quintile,Transportation,C850,5827.0,Couple families,0 to 24 years,Median total income,37640.0
2176,2011,Province 9,Second quintile,Total expenditure,C851,53949.0,Couple families,25 to 34 years,All income groups,262080.0
2179,2011,Province 9,Second quintile,Shelter,C854,13546.0,Couple families,25 to 34 years,"$15,000 and over",251230.0
2180,2011,Province 9,Second quintile,Principal accommodation,C855,12478.0,Couple families,25 to 34 years,"$20,000 and over",245970.0
2181,2011,Province 9,Second quintile,Rented living quarters,C856,3647.0,Couple families,25 to 34 years,"$25,000 and over",239520.0
2182,2011,Province 9,Second quintile,Owned living quarters,C857,6295.0,Couple families,25 to 34 years,"$30,000 and over",232090.0
2183,2011,Province 9,Second quintile,"Water, fuel and electricity for principal accommodation",C858,2537.0,Couple families,25 to 34 years,"$35,000 and over",223670.0
2186,2011,Province 9,Second quintile,Communications,C861,1591.0,Couple families,25 to 34 years,"$50,000 and over",190130.0
2188,2011,Province 9,Second quintile,Household furnishings,C863,643.0,Couple families,25 to 34 years,"$70,000 and over",133710.0
2190,2011,Province 9,Second quintile,Household appliances,C865,366.0,Couple families,25 to 34 years,"$80,000 and over",105250.0
2195,2011,Province 9,Third quintile,Food purchased from restaurants,C870,2330.0,Couple families,35 to 44 years,"$10,000 and over",351830.0
2197,2011,Province 9,Third quintile,Principal accommodation,C872,14636.0,Couple families,35 to 44 years,"$20,000 and over",341660.0
2198,2011,Province 9,Third quintile,Rented living quarters,C873,3244.0,Couple families,35 to 44 years,"$25,000 and over",334430.0
2199,2011,Province 9,Third quintile,Owned living quarters,C874,8667.0,Couple families,35 to 44 years,"$30,000 and over",326380.0
2201,2011,Province 9,Third quintile,Other accommodation,C876,1545.0,Couple families,35 to 44 years,"$40,000 and over",307710.0
2202,2011,Province 9,Third quintile,Household operations,C877,4426.0,Couple families,35 to 44 years,"$45,000 and over",296160.0
2203,2011,Province 9,Third quintile,Communications,C878,2297.0,Couple families,35 to 44 years,"$50,000 and over",283820.0
2205,2011,Province 9,Third quintile,Household furnishings,C880,880.0,Couple families,35 to 44 years,"$70,000 and over",227080.0
2206,2011,Province 9,Third quintile,Household equipment,C881,1062.0,Couple families,35 to 44 years,"$75,000 and over",211400.0
2207,2011,Province 9,Third quintile,Household appliances,C882,455.0,Couple families,35 to 44 years,"$80,000 and over",195780.0
2208,2011,Province 9,Third quintile,Clothing and accessories,C883,3394.0,Couple families,35 to 44 years,"$90,000 and over",164960.0
2212,2011,Province 9,Fourth quintile,Food purchased from restaurants,C887,2579.0,Couple families,45 to 54 years,"$10,000 and over",417220.0
2214,2011,Province 9,Fourth quintile,Principal accommodation,C889,16620.0,Couple families,45 to 54 years,"$20,000 and over",408940.0
2215,2011,Province 9,Fourth quintile,Rented living quarters,C890,2619.0,Couple families,45 to 54 years,"$25,000 and over",402540.0
2217,2011,Province 9,Fourth quintile,"Water, fuel and electricity for principal accommodation",C892,3302.0,Couple families,45 to 54 years,"$35,000 and over",386510.0
2219,2011,Province 9,Fourth quintile,Household operations,C894,5154.0,Couple families,45 to 54 years,"$45,000 and over",365060.0
2222,2011,Province 9,Fourth quintile,Household furnishings,C897,844.0,Couple families,45 to 54 years,"$70,000 and over",294090.0
2223,2011,Province 9,Fourth quintile,Household equipment,C898,1580.0,Couple families,45 to 54 years,"$75,000 and over",277930.0
2224,2011,Province 9,Fourth quintile,Household appliances,C899,704.0,Couple families,45 to 54 years,"$80,000 and over",261700.0
2228,2011,Province 9,Highest quintile,Food purchased from stores,C903,7750.0,Couple families,55 to 64 years,"Under $10,000",4500.0
2231,2011,Province 9,Highest quintile,Principal accommodation,C906,20125.0,Couple families,55 to 64 years,"$20,000 and over",379240.0
2232,2011,Province 9,Highest quintile,Rented living quarters,C907,921.0,Couple families,55 to 64 years,"$25,000 and over",371370.0
2234,2011,Province 9,Highest quintile,"Water, fuel and electricity for principal accommodation",C909,3826.0,Couple families,55 to 64 years,"$35,000 and over",350520.0
2236,2011,Province 9,Highest quintile,Household operations,C911,6381.0,Couple families,55 to 64 years,"$45,000 and over",320500.0
2238,2011,Province 9,Highest quintile,Household furnishings and equipment,C913,3748.0,Couple families,55 to 64 years,"$60,000 and over",267370.0
2240,2011,Province 9,Highest quintile,Household equipment,C915,1805.0,Couple families,55 to 64 years,"$75,000 and over",213240.0
2242,2011,Province 9,Highest quintile,Clothing and accessories,C917,6832.0,Couple families,55 to 64 years,"$90,000 and over",165270.0
2243,2011,Province 9,Highest quintile,Transportation,C918,20013.0,Couple families,55 to 64 years,Median total income,79410.0
2244,2011,Province 10,All quintiles,Total expenditure,C919,68200.0,Couple families,Total all ages,All income groups,38930.0
2245,2011,Province 10,All quintiles,Food purchased from stores,C920,5173.0,Couple families,Total all ages,"Under $10,000",180.0
2250,2011,Province 10,All quintiles,Owned living quarters,C925,6859.0,Couple families,Total all ages,"$30,000 and over",36150.0
2251,2011,Province 10,All quintiles,"Water, fuel and electricity for principal accommodation",C926,2091.0,Couple families,Total all ages,"$35,000 and over",34470.0
2255,2011,Province 10,All quintiles,Household furnishings and equipment,C930,1806.0,Couple families,Total all ages,"$60,000 and over",25640.0
2256,2011,Province 10,All quintiles,Household furnishings,C931,650.0,Couple families,Total all ages,"$70,000 and over",21900.0
2257,2011,Province 10,All quintiles,Household equipment,C932,1064.0,Couple families,Total all ages,"$75,000 and over",20210.0
2258,2011,Province 10,All quintiles,Household appliances,C933,466.0,Couple families,Total all ages,"$80,000 and over",18510.0
2261,2011,Province 10,Lowest quintile,Total expenditure,C936,29815.0,Couple families,0 to 24 years,All income groups,690.0
2264,2011,Province 10,Lowest quintile,Shelter,C939,7918.0,Couple families,0 to 24 years,"$15,000 and over",620.0
2272,2011,Province 10,Lowest quintile,Household furnishings and equipment,C947,1053.0,Couple families,0 to 24 years,"$60,000 and over",150.0
2273,2011,Province 10,Lowest quintile,Household furnishings,C948,299.0,Couple families,0 to 24 years,"$70,000 and over",100.0
2274,2011,Province 10,Lowest quintile,Household equipment,C949,723.0,Couple families,0 to 24 years,"$75,000 and over",70.0
2275,2011,Province 10,Lowest quintile,Household appliances,C950,,Couple families,0 to 24 years,"$80,000 and over",60.0
2276,2011,Province 10,Lowest quintile,Clothing and accessories,C951,1224.0,Couple families,0 to 24 years,"$90,000 and over",30.0
2280,2011,Province 10,Second quintile,Food purchased from restaurants,C955,1381.0,Couple families,25 to 34 years,"$10,000 and over",5410.0
2283,2011,Province 10,Second quintile,Rented living quarters,C958,3622.0,Couple families,25 to 34 years,"$25,000 and over",5240.0
2284,2011,Province 10,Second quintile,Owned living quarters,C959,4082.0,Couple families,25 to 34 years,"$30,000 and over",5120.0
2287,2011,Province 10,Second quintile,Household operations,C962,2994.0,Couple families,25 to 34 years,"$45,000 and over",4630.0
2288,2011,Province 10,Second quintile,Communications,C963,1409.0,Couple families,25 to 34 years,"$50,000 and over",4370.0
2289,2011,Province 10,Second quintile,Household furnishings and equipment,C964,1238.0,Couple families,25 to 34 years,"$60,000 and over",3720.0
2290,2011,Province 10,Second quintile,Household furnishings,C965,496.0,Couple families,25 to 34 years,"$70,000 and over",2980.0
2292,2011,Province 10,Second quintile,Household appliances,C967,275.0,Couple families,25 to 34 years,"$80,000 and over",2300.0
2294,2011,Province 10,Second quintile,Transportation,C969,7823.0,Couple families,25 to 34 years,Median total income,73690.0
2295,2011,Province 10,Third quintile,Total expenditure,C970,61555.0,Couple families,35 to 44 years,All income groups,5920.0
2296,2011,Province 10,Third quintile,Food purchased from stores,C971,5432.0,Couple families,35 to 44 years,"Under $10,000",20.0
2297,2011,Province 10,Third quintile,Food purchased from restaurants,C972,1937.0,Couple families,35 to 44 years,"$10,000 and over",5900.0
2298,2011,Province 10,Third quintile,Shelter,C973,11606.0,Couple families,35 to 44 years,"$15,000 and over",5880.0
2299,2011,Province 10,Third quintile,Principal accommodation,C974,10518.0,Couple families,35 to 44 years,"$20,000 and over",5820.0
2301,2011,Province 10,Third quintile,Owned living quarters,C976,6071.0,Couple families,35 to 44 years,"$30,000 and over",5680.0
2302,2011,Province 10,Third quintile,"Water, fuel and electricity for principal accommodation",C977,2105.0,Couple families,35 to 44 years,"$35,000 and over",5610.0
2303,2011,Province 10,Third quintile,Other accommodation,C978,1088.0,Couple families,35 to 44 years,"$40,000 and over",5520.0
2304,2011,Province 10,Third quintile,Household operations,C979,3565.0,Couple families,35 to 44 years,"$45,000 and over",5380.0
2305,2011,Province 10,Third quintile,Communications,C980,1751.0,Couple families,35 to 44 years,"$50,000 and over",5220.0
2312,2011,Province 10,Fourth quintile,Total expenditure,C987,82142.0,Couple families,45 to 54 years,All income groups,8450.0
2313,2011,Province 10,Fourth quintile,Food purchased from stores,C988,6027.0,Couple families,45 to 54 years,"Under $10,000",40.0
2314,2011,Province 10,Fourth quintile,Food purchased from restaurants,C989,2714.0,Couple families,45 to 54 years,"$10,000 and over",8410.0
2315,2011,Province 10,Fourth quintile,Shelter,C990,15674.0,Couple families,45 to 54 years,"$15,000 and over",8370.0
2316,2011,Province 10,Fourth quintile,Principal accommodation,C991,14446.0,Couple families,45 to 54 years,"$20,000 and over",8280.0
2317,2011,Province 10,Fourth quintile,Rented living quarters,C992,1615.0,Couple families,45 to 54 years,"$25,000 and over",8210.0
2318,2011,Province 10,Fourth quintile,Owned living quarters,C993,10182.0,Couple families,45 to 54 years,"$30,000 and over",8130.0
2321,2011,Province 10,Fourth quintile,Household operations,C996,4512.0,Couple families,45 to 54 years,"$45,000 and over",7760.0
2322,2011,Province 10,Fourth quintile,Communications,C997,2010.0,Couple families,45 to 54 years,"$50,000 and over",7590.0
2323,2011,Province 10,Fourth quintile,Household furnishings and equipment,C998,2128.0,Couple families,45 to 54 years,"$60,000 and over",7090.0
2324,2011,Province 10,Fourth quintile,Household furnishings,C999,889.0,Couple families,45 to 54 years,"$70,000 and over",6460.0
2325,2011,Province 10,Fourth quintile,Household equipment,C1000,1136.0,Couple families,45 to 54 years,"$75,000 and over",6150.0
2326,2011,Province 10,Fourth quintile,Household appliances,C1001,452.0,Couple families,45 to 54 years,"$80,000 and over",5820.0
2328,2011,Province 10,Fourth quintile,Transportation,C1003,13905.0,Couple families,45 to 54 years,Median total income,103480.0
2329,2011,Province 10,Highest quintile,Total expenditure,C1004,124324.0,Couple families,55 to 64 years,All income groups,9440.0
2330,2011,Province 10,Highest quintile,Food purchased from stores,C1005,6885.0,Couple families,55 to 64 years,"Under $10,000",40.0
2331,2011,Province 10,Highest quintile,Food purchased from restaurants,C1006,3202.0,Couple families,55 to 64 years,"$10,000 and over",9400.0
2336,2011,Province 10,Highest quintile,"Water, fuel and electricity for principal accommodation",C1011,2866.0,Couple families,55 to 64 years,"$35,000 and over",8670.0
2337,2011,Province 10,Highest quintile,Other accommodation,C1012,2993.0,Couple families,55 to 64 years,"$40,000 and over",8370.0
